,ELUSED,DHUSED,HT2,STUSED,WATR,SQFT,NOCC,YRCON,PBA,MFEXP,COOL,FKUSED,ELHT2,FREESTN,ELWATR,ELCNS,NGUSED,CDD65,HDD65,PUBID,ELHT1,HT1,ELCOOL,HWUSED,ELEXP,MFUSED
6085,1,2,2,2,1,25000,1,1980,5,18188.0,1,2,2.0,1.0,1.0,117058.0,2,4567,656,6086,1.0,1,1.0,2,18188.0,1
6086,1,2,2,2,1,14500,6,2002,23,17358.0,1,2,2.0,1.0,1.0,321198.0,1,2194,1790,6087,1.0,1,1.0,2,16579.0,1
6088,1,2,2,2,1,5500,1,1948,2,11334.0,1,2,2.0,1.0,1.0,91277.0,2,2127,1159,6089,1.0,1,1.0,2,11334.0,1
6091,1,2,2,2,1,85000,1,2009,5,24240.0,1,2,2.0,1.0,1.0,200374.0,2,2207,1950,6092,1.0,1,1.0,2,24240.0,1
6094,1,2,2,2,1,62000,1,1998,2,227359.0,1,1,2.0,1.0,1.0,2004893.0,2,3387,493,6095,1.0,1,1.0,2,227133.0,1
6101,1,2,2,2,1,6000,0,995,1,3104.0,2,2,2.0,0.0,2.0,6926.0,1,912,5906,6102,1.0,1,2.0,2,1172.0,1
6103,1,2,2,2,1,30000,32,1973,2,15009.0,1,2,2.0,1.0,1.0,119884.0,2,4408,93,6104,1.0,1,1.0,2,15009.0,1
6104,1,2,1,2,1,205000,1,1986,14,724576.0,1,1,2.0,1.0,1.0,5622201.0,1,1159,4994,6105,1.0,1,1.0,2,400983.0,1
6105,1,2,1,2,1,24000,3,1969,2,46585.0,1,2,2.0,1.0,1.0,373191.0,1,1569,3273,6106,1.0,1,1.0,2,30740.0,1
6107,1,2,2,2,1,30000,12,1985,2,67047.0,1,2,2.0,1.0,1.0,626076.0,2,1110,4084,6108,1.0,1,1.0,2,67047.0,1
6110,1,2,2,2,1,8000,1,2002,2,14904.0,1,2,2.0,1.0,1.0,118060.0,1,1761,2443,6111,1.0,1,1.0,2,14512.0,1
6117,1,2,2,2,1,295000,20,1989,2,544790.0,1,1,2.0,1.0,1.0,4901838.0,1,2097,2189,6118,1.0,1,1.0,2,539464.0,1
6121,1,2,2,2,1,1001,2,1996,2,161.0,1,2,2.0,1.0,1.0,1855.0,2,833,5728,6122,1.0,1,1.0,2,161.0,1
6127,1,2,2,2,2,6700,1,1984,26,4372.0,2,2,2.0,1.0,2.0,40160.0,2,1900,751,6128,1.0,1,2.0,2,4372.0,1
6128,1,2,2,2,2,3300,2,1956,2,1738.0,1,2,2.0,1.0,2.0,9579.0,2,1159,4114,6129,1.0,1,1.0,2,1738.0,1
6133,1,2,2,2,1,36000,1,1976,16,146423.0,1,1,2.0,1.0,1.0,1596624.0,1,3648,345,6134,1.0,1,1.0,2,142919.0,1
6134,1,2,2,2,1,160000,2,2003,5,135407.0,1,2,2.0,1.0,1.0,1230554.0,1,1130,5571,6135,1.0,1,1.0,2,101626.0,1
6138,1,2,2,2,1,275000,1,1955,11,2407111.0,1,1,2.0,1.0,2.0,13881041.0,1,1343,3854,6139,1.0,1,1.0,2,2259885.0,1
6142,1,2,2,2,1,194000,1,1992,91,3782371.0,1,1,2.0,1.0,1.0,39889153.0,2,1187,2009,6143,1.0,1,1.0,2,3757065.0,1
6145,1,2,2,2,1,40500,1,1997,13,24274.0,1,2,2.0,1.0,2.0,249654.0,1,2471,2379,6146,1.0,1,1.0,2,24257.0,1
6150,1,2,1,2,1,35000,1,1997,5,28455.0,1,2,2.0,1.0,1.0,357582.0,1,1324,3216,6151,1.0,1,1.0,2,28402.0,1
6151,1,2,2,2,1,64000,1,2001,14,73043.0,1,1,2.0,1.0,1.0,961756.0,2,4765,139,6152,1.0,1,2.0,2,72484.0,1
6156,1,2,2,2,1,350000,1,1990,2,571069.0,1,1,2.0,1.0,1.0,6506487.0,2,4904,1041,6157,1.0,1,1.0,2,570569.0,1
6168,1,2,2,2,1,2400,1,1999,15,2089.0,1,2,2.0,1.0,1.0,28838.0,2,1332,3388,6169,1.0,1,1.0,2,2089.0,1
6170,1,2,2,2,1,3500,1,1994,14,4655.0,1,2,2.0,1.0,1.0,43360.0,2,4785,664,6171,1.0,1,1.0,2,4655.0,1
6173,1,2,2,2,1,8800,8,1982,2,7877.0,1,2,2.0,1.0,1.0,106935.0,2,1891,3337,6174,1.0,1,1.0,2,7877.0,1
6176,1,2,2,2,1,8100,1,2006,12,15945.0,1,2,2.0,1.0,1.0,52964.0,2,2144,1441,6177,1.0,1,1.0,2,15945.0,1
6181,1,2,2,2,1,21250,5,2001,23,64515.0,1,2,2.0,1.0,1.0,577340.0,2,3110,549,6182,1.0,1,1.0,2,64515.0,1
6183,1,2,2,2,1,24000,1,1951,16,65940.0,1,2,2.0,1.0,2.0,448897.0,1,2574,1710,6184,1.0,1,1.0,2,61970.0,1
6186,1,2,2,2,2,8600,1,995,5,1995.0,2,2,2.0,1.0,2.0,14289.0,2,464,7079,6187,1.0,1,2.0,2,1995.0,1
6187,1,2,2,2,2,1500,1,995,25,1236.0,2,2,2.0,1.0,2.0,10032.0,2,215,1897,6188,1.0,1,2.0,2,1236.0,1
6189,1,2,2,2,1,1400000,150,1975,24,1639095.0,1,2,2.0,1.0,1.0,19456549.0,1,1995,2644,6190,1.0,1,1.0,2,1633440.0,1
6190,1,2,2,2,2,26000,1,995,12,1386.0,1,2,2.0,1.0,2.0,9055.0,2,1818,3000,6191,1.0,1,1.0,2,1386.0,1
6196,1,2,2,2,2,300000,1,995,5,11260.0,2,2,2.0,1.0,2.0,165215.0,2,1048,5143,6197,1.0,1,2.0,2,11260.0,1
6198,1,2,2,2,1,6600,1,2010,14,9221.0,1,2,2.0,1.0,1.0,65106.0,2,2475,1037,6199,1.0,1,1.0,2,9221.0,1
6199,1,2,2,2,1,106000,11,1981,2,201639.0,1,1,2.0,1.0,1.0,2484719.0,2,1083,4505,6200,1.0,1,1.0,2,200713.0,1
6201,1,2,2,2,1,2000,1,1948,25,7354.0,1,2,2.0,1.0,1.0,91346.0,2,2288,2062,6202,1.0,1,1.0,2,7354.0,1
6207,1,2,2,2,1,50000,1,995,2,252918.0,1,2,2.0,1.0,2.0,1817238.0,1,1791,3085,6208,1.0,1,1.0,2,245394.0,1
6216,1,2,1,2,1,1300,2,2003,13,4443.0,1,2,2.0,1.0,2.0,28992.0,1,1483,1446,6217,1.0,1,1.0,2,4421.0,1
6217,1,2,2,2,1,800000,9,1989,2,553828.0,1,2,2.0,1.0,1.0,4516767.0,2,1117,4520,6218,1.0,1,1.0,2,553828.0,1
6219,1,2,2,2,1,27000,25,1975,23,84449.0,1,2,2.0,1.0,1.0,592448.0,1,1764,1480,6220,1.0,1,1.0,2,69945.0,1
6223,1,2,2,2,1,2500,1,1997,15,44213.0,1,2,2.0,1.0,1.0,377867.0,1,3754,164,6224,1.0,1,1.0,2,33281.0,1
6224,1,2,1,2,1,2800,1,2003,25,2721.0,1,1,2.0,1.0,1.0,21535.0,2,1505,2927,6225,1.0,1,1.0,2,2016.0,1
6226,1,2,2,2,1,2200,1,2011,18,849.0,1,2,2.0,1.0,1.0,6555.0,2,410,5854,6227,1.0,1,1.0,2,849.0,1
6227,1,2,1,2,1,13000,2,1951,12,9710.0,1,2,2.0,1.0,1.0,35530.0,1,1605,1027,6228,1.0,1,1.0,2,8843.0,1
6233,1,2,2,2,1,3550,2,1978,2,5809.0,1,2,2.0,1.0,1.0,56030.0,2,4540,716,6234,1.0,1,1.0,2,5809.0,1
6238,1,2,1,2,1,14250,3,2009,2,9085.0,1,2,2.0,0.0,1.0,59163.0,1,1557,4048,6239,1.0,1,1.0,2,8862.0,1
6239,1,2,2,2,1,96000,16,2002,23,211629.0,1,2,2.0,1.0,1.0,3741905.0,1,3619,933,6240,1.0,1,1.0,2,187632.0,1
6241,1,2,1,2,1,3400,1,1982,15,35134.0,1,2,2.0,1.0,2.0,244427.0,1,1664,3647,6242,1.0,1,1.0,2,21180.0,1
6244,1,2,1,2,1,168000,1,1999,14,257257.0,1,2,2.0,0.0,2.0,2714453.0,1,4082,1080,6245,1.0,1,1.0,2,256335.0,1
6246,1,2,2,2,1,4200,1,1973,26,653.0,1,2,2.0,1.0,1.0,5467.0,2,2655,2636,6247,1.0,1,1.0,2,653.0,1
6247,1,2,2,2,1,8800,1,1985,2,11753.0,1,2,2.0,1.0,1.0,56654.0,2,1343,930,6248,1.0,1,1.0,2,11753.0,1
6257,1,2,2,2,1,3800,5,995,23,8782.0,1,2,2.0,1.0,1.0,65905.0,2,602,4919,6258,1.0,1,1.0,2,8782.0,1
6263,1,2,1,2,1,128000,5,1952,17,230030.0,1,1,2.0,0.0,2.0,2079782.0,1,798,5031,6264,1.0,1,1.0,2,169618.0,1
6264,1,2,2,2,1,190000,2,2002,5,111155.0,1,2,2.0,1.0,1.0,1151892.0,2,3567,1947,6265,1.0,1,1.0,2,111155.0,1
6274,1,2,1,2,1,7700,1,1979,14,14597.0,1,2,2.0,1.0,1.0,183420.0,2,1773,2532,6275,1.0,1,1.0,2,14597.0,1
6277,1,2,2,2,1,8000,2,1965,12,4713.0,1,2,2.0,1.0,1.0,35711.0,2,3318,1490,6278,1.0,1,1.0,2,4713.0,1
6280,1,2,2,2,1,2850,1,2002,2,3246.0,1,2,2.0,1.0,1.0,27914.0,2,1565,2460,6281,1.0,1,1.0,2,3246.0,1
6281,1,2,2,2,1,44500,6,1986,2,70159.0,1,2,2.0,1.0,1.0,634888.0,2,3637,1031,6282,1.0,1,1.0,2,70159.0,1
6285,1,2,1,2,1,200000,1,1988,5,22427.0,1,2,2.0,1.0,1.0,230372.0,1,2007,2091,6286,1.0,1,1.0,2,19964.0,1
6294,1,2,2,2,1,10000,2,1985,5,6157.0,1,2,2.0,1.0,1.0,38931.0,2,1220,919,6295,1.0,1,1.0,2,6157.0,1
