,ELUSED,STHW,STDNRM,PKGCL,FACIL,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,DHHT1,SOUSED,HEATP,NWKER,FLUORP,FURNAC,RFGEQP,CAPGEN,RCAC,OPEN24,RDCLNF,GOVOWN,CWUSED,ELMANU,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,LTOHRP,HTPMPC,STUSED,DHCOOL,WATR,SQFT,BOILER,DHOTH,DAYLTP,WLCNS,SERVER,NOCC,DHCNS,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,ONEACT,ELWATR,ELCNS,OTLT,DHWATR,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,DHMANU,WOUSED,PUBID,WKHRSC,GENR,DHHT2,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,DHEXP,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,CHWT,ELEXP,DHCOOK,CHILLR,MAINCL,PRUSED,FLUOR,CFLR,STHWP,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
5344,1,1.0,1.0,2.0,1.0,1.0,1,1.0,2.0,11.0,4.0,4.0,100.0,1.0,168.0,1.0,1.0,2,1.0,2.0,100.0,2500.0,80.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,1500000,2.0,2.0,0.0,1.0,1.0,2,336616.0,1975,1.0,16,11766012.0,1,1.0,2.0,12.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2.0,2.0,41248127.0,2.0,1.0,1.0,1,11.0,618,5788,2.0,2.0,2.0,5345,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,6375396.0,3.0,2.0,1.0,2.0,1000.0,4.0,2,1.0,1.0,4679872.0,1.0,2.0,4.0,2.0,1.0,1.0,100.0,1,10.0,1.0,2.0,1.0,1.0,3.0
5395,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,8.0,4.0,2.0,10.0,1.0,168.0,1.0,1.0,2,1.0,2.0,100.0,250.0,85.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,80.0,1.0,1,1.0,1,325000,2.0,2.0,65.0,1.0,1.0,1,44251.0,1969,1.0,16,1677244.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,5776746.0,2.0,1.0,1.0,1,12.0,65,2946,2.0,2.0,2.0,5396,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1.0,830487.0,3.0,2.0,1.0,2.0,24.0,4.0,2,1.0,2.0,823967.0,1.0,1.0,3.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,1.0,1.0
5424,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,11.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,3750.0,95.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,90.0,2.0,1,2.0,1,1400000,2.0,2.0,25.0,2.0,1.0,1,138105.0,1991,1.0,16,5342964.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0,45126407.0,2.0,1.0,2.0,1,7.0,3533,793,2.0,2.0,2.0,5425,7.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1,2.0,642604.0,1.0,2.0,1.0,2.0,500.0,4.0,2,2.0,1.0,4475829.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,10.0,2.0,1.0,1.0,1.0,1.0
5447,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,8.0,4.0,2.0,85.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,300.0,90.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,275000,2.0,2.0,15.0,1.0,1.0,1,9083.0,1968,1.0,14,1203032.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,2.0,12479912.0,2.0,1.0,1.0,2,4.0,1456,3270,2.0,2.0,2.0,5448,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1.0,85965.0,3.0,2.0,1.0,2.0,150.0,4.0,2,1.0,2.0,1115586.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,7.0,1.0,2.0,1.0,1.0,1.0
5463,1,1.0,2.0,1.0,2.0,1.0,1,1.0,2.0,11.0,4.0,2.0,80.0,1.0,65.0,1.0,2.0,1,1.0,2.0,100.0,3000.0,85.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,90.0,1.0,1,2.0,1,700000,2.0,2.0,60.0,1.0,1.0,110,34786.0,995,1.0,2,2713122.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2.0,10988758.0,2.0,1.0,2.0,1,995.0,1305,3906,1.0,2.0,2.0,5464,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1.0,884033.0,3.0,2.0,1.0,2.0,300.0,4.0,2,2.0,2.0,1820949.0,2.0,2.0,2.0,2.0,1.0,1.0,92.0,1,10.0,1.0,2.0,1.0,2.0,2.0
5464,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,5.0,4.0,2.0,100.0,2.0,80.0,1.0,2.0,2,1.0,2.0,100.0,40.0,90.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,100.0,2.0,1,2.0,1,112000,2.0,2.0,10.0,1.0,2.0,1,3218.0,1970,2.0,14,165695.0,1,1.0,2.0,12.0,2.0,2.0,2,1.0,2.0,2.0,1.0,1.0,1.0,1471257.0,2.0,2.0,1.0,2,2.0,1701,3912,2.0,2.0,2.0,5465,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,53779.0,1.0,2.0,1.0,2.0,20.0,4.0,2,2.0,2.0,111916.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,7.0,2.0,2.0,1.0,2.0,1.0
5505,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,8.0,4.0,2.0,90.0,1.0,168.0,2.0,1.0,2,1.0,2.0,90.0,392.0,90.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,95.0,1.0,1,2.0,1,500001,2.0,2.0,0.0,1.0,1.0,20,56067.0,1980,1.0,13,2535506.0,1,1.0,1.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,1.0,20258824.0,2.0,1.0,1.0,1,2.0,2058,2108,2.0,2.0,2.0,5506,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1054191.0,3.0,2.0,1.0,2.0,10.0,4.0,2,1.0,1.0,1416901.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,1.0,2.0
5518,1,1.0,1.0,2.0,1.0,2.0,1,2.0,1.0,7.0,3.0,4.0,90.0,1.0,40.0,1.0,2.0,1,1.0,2.0,100.0,169.0,80.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,75.0,1.0,1,2.0,1,355000,2.0,2.0,40.0,8.0,1.0,2,15033.0,2004,2.0,2,412217.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,1.0,2.0,0.0,1.0,1.0,3750823.0,2.0,1.0,2.0,1,6.0,945,6142,1.0,2.0,2.0,5519,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,87608.0,1.0,2.0,1.0,2.0,60.0,4.0,2,1.0,1.0,319251.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,7.0,1.0,2.0,1.0,2.0,2.0
5521,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,7.0,4.0,1.0,40.0,1.0,40.0,1.0,1.0,2,1.0,2.0,100.0,100.0,80.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,1,2.0,1,315000,2.0,2.0,50.0,3.0,1.0,2,19726.0,995,1.0,13,853907.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,3236545.0,2.0,1.0,1.0,2,5.0,66,2945,2.0,2.0,2.0,5522,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,378940.0,1.0,2.0,1.0,2.0,5.0,4.0,2,1.0,2.0,474967.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,5.0,1.0,2.0,1.0,1.0,2.0
5525,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,7.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,100.0,90.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,95.0,2.0,1,2.0,1,395000,2.0,2.0,15.0,1.0,1.0,2,31875.0,1987,1.0,13,977439.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,8156886.0,2.0,1.0,1.0,2,8.0,1457,3370,2.0,2.0,2.0,5526,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1.0,279703.0,3.0,2.0,1.0,2.0,30.0,4.0,2,2.0,2.0,696223.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,2.0,3.0
5548,1,1.0,2.0,2.0,1.0,2.0,1,1.0,2.0,5.0,2.0,2.0,100.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,30.0,100.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,50.0,2.0,2,2.0,1,20500,2.0,2.0,30.0,1.0,2.0,1,1479.0,2001,2.0,2,83906.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,442959.0,2.0,2.0,2.0,1,2.0,743,5113,2.0,2.0,2.0,5549,7.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,2.0,27853.0,1.0,2.0,1.0,2.0,6.0,4.0,1,2.0,1.0,54817.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,4.0,2.0,2.0,1.0,2.0,1.0
5551,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,10.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,1100.0,95.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,1500000,2.0,2.0,0.0,1.0,2.0,5,95771.0,1978,1.0,16,2927953.0,1,1.0,1.0,12.0,1.0,2.0,1,2.0,1.0,1.0,1.0,1.0,2.0,17009971.0,2.0,1.0,1.0,1,9.0,1444,3936,2.0,2.0,2.0,5552,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1.0,884594.0,1.0,2.0,1.0,2.0,200.0,4.0,2,2.0,1.0,1928408.0,1.0,1.0,4.0,2.0,1.0,1.0,90.0,1,8.0,1.0,1.0,1.0,1.0,2.0
5618,1,1.0,2.0,2.0,1.0,1.0,1,2.0,2.0,5.0,3.0,2.0,95.0,1.0,108.0,1.0,1.0,2,1.0,2.0,100.0,40.0,80.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,70.0,2.0,1,2.0,1,98000,2.0,2.0,0.0,1.0,1.0,3,17644.0,1966,1.0,13,438977.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,1536635.0,2.0,1.0,1.0,2,3.0,1354,5320,2.0,2.0,2.0,5619,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,341122.0,1.0,2.0,1.0,2.0,19.0,4.0,2,1.0,2.0,97855.0,1.0,1.0,3.0,2.0,1.0,1.0,100.0,1,5.0,2.0,2.0,1.0,1.0,1.0
5629,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,6.0,4.0,2.0,75.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,75.0,100.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,100.0,2.0,2,2.0,1,215000,2.0,2.0,15.0,1.0,2.0,1,12855.0,2006,2.0,14,358656.0,1,1.0,2.0,12.0,2.0,1.0,2,1.0,2.0,2.0,1.0,1.0,2.0,1625119.0,2.0,1.0,1.0,2,4.0,1762,2245,2.0,2.0,2.0,5630,7.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,2.0,244057.0,3.0,2.0,1.0,2.0,10.0,4.0,1,2.0,1.0,114599.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,5.0,2.0,2.0,1.0,2.0,1.0
5640,1,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,6.0,1.0,2.0,90.0,1.0,90.0,1.0,2.0,2,1.0,2.0,100.0,66.0,75.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,25.0,2.0,1,2.0,1,50001,2.0,2.0,0.0,1.0,1.0,1,5446.0,2002,1.0,14,415122.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,1.0,2.0,4856251.0,2.0,1.0,1.0,1,3.0,1323,5046,2.0,2.0,2.0,5641,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1,1.0,101809.0,1.0,2.0,1.0,2.0,21.0,4.0,2,1.0,2.0,311505.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,6.0,1.0,2.0,1.0,1.0,1.0
5660,1,1.0,1.0,2.0,1.0,2.0,1,2.0,2.0,6.0,4.0,2.0,95.0,1.0,65.0,1.0,2.0,2,1.0,2.0,100.0,70.0,70.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,2,2.0,1,66000,2.0,2.0,0.0,1.0,1.0,1,1468.0,1966,2.0,14,117424.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,573127.0,2.0,2.0,1.0,1,3.0,1278,1565,2.0,2.0,2.0,5661,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,28160.0,3.0,2.0,1.0,2.0,30.0,4.0,1,2.0,1.0,66649.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,6.0,2.0,2.0,1.0,2.0,1.0
5696,1,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,11.0,4.0,4.0,99.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,2500.0,75.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,1,2.0,1,600000,2.0,2.0,30.0,1.0,1.0,1,44456.0,1976,1.0,16,2337439.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,1.0,1.0,1.0,1.0,2.0,21794794.0,2.0,1.0,1.0,1,8.0,2446,2906,2.0,2.0,2.0,5697,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1.0,737796.0,1.0,2.0,1.0,2.0,1000.0,4.0,2,2.0,2.0,1522824.0,1.0,1.0,3.0,2.0,1.0,1.0,90.0,1,8.0,2.0,2.0,1.0,1.0,1.0
5707,1,1.0,2.0,1.0,1.0,1.0,1,1.0,2.0,9.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,500.0,75.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,100.0,2.0,2,2.0,1,800000,2.0,2.0,5.0,1.0,1.0,1,9046.0,2004,1.0,16,1646759.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,1.0,2.0,1.0,1.0,2.0,19660789.0,2.0,2.0,2.0,1,4.0,3791,539,2.0,2.0,2.0,5708,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,169859.0,1.0,2.0,1.0,2.0,250.0,4.0,1,1.0,1.0,1239036.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,8.0,2.0,2.0,1.0,1.0,1.0
