,SQFT,PBA,HDD65,CDD65
486,140000,4,4506,858
487,1000000,91,4109,1538
488,1500000,16,6093,656
489,110000,18,2162,2755
490,95000,16,1072,1456
491,172000,8,5678,973
492,4000,25,5070,975
493,122000,2,4918,1303
494,380000,2,5560,652
495,56000,18,3420,1984
496,295000,2,3225,56
497,600000,5,6302,983
498,1400000,16,4019,1619
499,55000,4,4936,630
500,800000,16,374,3702
501,196000,5,5737,818
502,78000,2,1840,3337
503,700000,16,2293,364
504,144000,2,2641,2118
505,33500,17,7023,970
506,72000,23,3062,1619
507,82000,14,4097,954
508,600000,16,961,3365
509,800000,16,1782,2538
510,35500,2,2160,2984
511,430000,8,4702,1250
512,90000,25,936,3694
513,250000,16,4119,1370
514,62000,14,4196,855
515,1500000,24,4196,1397
516,174000,2,5027,864
517,98000,1,2591,468
518,78000,2,4915,780
519,255000,14,5157,893
520,305000,2,3705,1735
521,1500000,4,5591,805
522,98000,2,1937,2884
523,44000,5,796,2901
524,305000,5,3636,1775
525,220000,16,7615,255
526,1400000,5,2831,1986
527,440000,12,260,4474
528,1400000,16,1278,2860
529,31500,2,5706,678
530,250000,2,4768,1083
531,166000,16,5203,1204
532,800000,2,2856,64
533,2700,7,3059,1758
534,176000,12,2581,1763
535,85000,16,2747,1643
536,168000,91,5997,683
537,5400,2,5243,1165
538,90000,7,3519,744
539,39500,8,5819,995
540,415000,16,4658,1080
541,2150,7,2620,2491
542,120000,13,6024,668
543,134000,16,3982,1501
544,116000,4,5051,1019
545,44000,2,2404,876
546,300000,16,4242,1537
547,186000,16,128,4045
548,24000,2,5059,1170
549,8500,7,5614,912
550,148000,14,5066,1134
551,800000,16,4276,1321
552,11000,2,6104,470
553,285000,16,4201,1174
554,215000,2,7082,900
555,230000,2,2929,1609
556,160000,2,4324,1261
557,210000,5,1561,3717
558,215000,2,2307,641
559,415000,16,1818,671
560,420000,2,6906,629
561,106000,2,3530,1847
562,200000,2,6522,475
563,385000,8,7871,851
564,23250,7,6715,577
565,21250,8,1169,2264
566,800000,2,866,3488
567,600000,16,5637,684
568,5000,26,2141,2908
569,600000,16,4513,1536
570,205000,1,2468,1890
571,495000,16,4345,1341
572,400000,13,1459,4088
573,138000,8,1856,2092
574,600000,16,6355,1027
575,33000,17,1066,2227
576,186000,2,3683,1706
577,102000,23,5924,932
578,17750,2,3249,1773
579,300000,2,2381,127
580,86000,14,3513,1495
581,65000,2,5749,1052
582,600000,16,1086,2099
583,340000,16,2615,241
584,800000,16,5281,1281
585,300000,2,3837,1360
586,90000,17,5557,925
587,1000000,13,3450,1823
588,425000,2,2069,477
589,800000,16,4912,1062
590,700000,16,6273,814
591,1500000,2,3276,58
592,600000,16,5328,912
593,1500000,2,6542,712
594,164000,2,6762,439
595,80000,14,4216,1135
596,106000,16,2901,1976
597,4000,7,5699,908
598,700000,18,3232,1836
599,1400000,16,2230,2261
600,2150,2,4600,1172
601,600000,16,4326,1567
602,3200,26,3803,1071
603,1400000,16,2409,1915
604,600000,4,2715,2487
605,1400000,13,1153,3243
606,450000,16,3405,1399
607,96000,2,5299,120
608,250000,2,1129,1247
609,85000,2,1209,2054
610,290000,16,3357,1365
611,430000,13,7846,455
612,405000,14,5828,1163
613,37000,2,6622,702
614,295000,13,3360,58
615,300000,2,3748,1510
616,320000,12,1577,2979
617,220000,16,1052,1738
618,325000,16,1210,2197
619,1400000,16,2444,2721
620,160000,7,9018,14
621,240000,18,2683,2975
622,700000,2,4021,1318
623,900000,16,907,4775
624,150000,2,5201,990
625,330000,14,1480,3478
626,1500000,16,3379,1773
627,230000,16,2423,2623
628,21750,8,2447,1462
629,310000,2,3953,1670
630,800000,16,4136,1073
631,68000,2,5081,955
632,118000,17,4827,1075
633,800000,16,2529,2424
634,1500000,16,4439,1461
635,28000,7,6031,181
636,47500,23,4273,173
637,35500,16,5054,1080
638,64000,16,3583,1477
639,180000,2,2696,1247
640,1400000,16,4676,978
641,900000,16,3211,2263
642,87000,23,6102,562
643,160000,1,5715,598
644,485000,16,5676,579
645,48500,2,4565,914
646,4000,18,3975,570
647,800000,16,3536,1699
648,40000,17,5648,524
649,136000,16,5456,798
650,225000,16,2539,1631
651,67000,4,5115,1087
652,52000,14,4112,978
