,SQFT,PBA,HDD65,CDD65
603,260000,13,7237,157
604,10500,14,1991,1886
605,1500000,16,3243,1473
606,200001,18,4834,759
607,345000,13,1053,874
608,365000,2,6227,694
609,138000,14,2190,369
610,186000,13,6540,344
611,1500000,16,3994,1108
612,330000,14,7055,159
613,225000,16,7309,851
614,16000,12,3597,1442
615,112000,13,5270,1011
616,45000,2,3692,1513
617,17750,15,676,3896
618,154000,14,5823,823
619,172000,14,8366,422
620,144000,13,8614,719
621,310000,8,4088,1079
622,47000,14,6624,491
623,33000,5,5815,904
624,290000,2,7009,485
625,73000,2,2659,181
626,65000,14,8030,544
627,30500,13,3858,1568
628,158000,13,4283,939
629,29000,8,6785,802
630,225000,2,3716,1729
631,108000,14,3640,1990
632,700000,16,6899,637
633,1400000,2,5574,982
634,410000,2,4014,1364
635,385000,2,5575,1017
636,600000,2,2386,228
637,106000,14,4405,1077
638,102000,14,3245,1948
639,225000,8,6186,746
640,285000,5,6456,730
641,275000,14,5213,1081
642,140000,1,4882,1387
643,66000,13,4677,976
644,192000,13,7057,486
645,188000,18,2627,1806
646,74000,14,4250,1551
647,600000,2,5469,813
648,1400000,16,6488,636
649,800000,16,6366,883
650,1500000,2,4255,1379
651,83000,4,5721,416
652,50000,2,6966,721
653,1500000,2,5255,1026
654,128000,14,293,3998
655,260000,2,5320,961
656,176000,2,6094,813
657,1000000,2,4182,1031
658,310000,4,6646,718
659,235000,14,3553,1358
660,150000,14,3657,1306
661,190000,7,3465,1273
662,136000,2,4948,1013
663,72000,14,3287,1484
664,220000,13,3477,2063
665,215000,13,7855,429
666,28000,4,5233,915
667,11000,14,6458,254
668,136000,14,6206,679
669,345000,2,3227,1350
670,495000,2,1724,3026
671,14500,11,5436,579
672,295000,13,6659,590
673,700000,16,7375,386
674,250000,8,7470,575
675,10750,14,393,5001
676,180000,4,3089,1449
677,600000,2,6461,992
678,370000,2,4179,1312
679,300000,18,2248,220
680,33500,7,6992,839
681,15000,2,2445,2023
682,390000,13,6408,688
683,700000,17,6856,713
684,440000,2,5806,802
685,178000,13,294,4294
686,1500000,2,3874,1413
