,STORIES,TYPEHUQ,TOTHSQFT,TOTCSQFT,HDD65,CDD65
1348,-2,1,780,390,2458,1985
1349,10,2,1050,0,1312,2828
1350,-2,4,756,756,2248,2281
1351,10,2,1533,1533,645,5491
1352,-2,1,0,0,1031,2530
1353,20,2,3712,2531,6443,678
1354,20,2,1933,1933,5497,907
1355,10,2,1400,1400,2445,2035
1356,10,2,1232,1232,2555,1971
1357,20,2,1969,2188,4672,1240
1358,10,2,1576,1576,3872,1825
1359,20,2,1670,1670,4108,1136
1360,10,2,1653,1653,3157,1882
1361,10,2,718,359,5410,932
1362,10,2,1680,1680,4009,1651
1363,-2,5,1064,532,6692,767
1364,31,2,5040,1163,5391,1002
1365,10,2,4880,1083,6065,690
1366,10,3,1411,1411,1525,3269
1367,10,2,1408,1408,1052,3015
1368,20,3,1245,0,6732,559
1369,20,2,2600,2600,1444,2833
1370,20,2,1800,360,3315,943
1371,20,2,1008,0,3900,1336
1372,-2,5,623,623,6898,598
1373,10,2,2309,2309,2377,2321
1374,-2,1,0,0,1382,2916
1375,-2,5,783,261,3917,527
1376,40,2,1608,1608,4730,1364
1377,10,2,2419,1171,6743,494
1378,10,2,2048,2048,5643,1031
1379,20,3,1992,1992,1109,2133
1380,10,2,1031,1031,643,5507
1381,20,2,1540,1540,3824,1699
1382,20,3,977,977,681,1566
1383,10,2,1102,1102,6052,682
1384,10,2,2308,2308,2445,2552
1385,10,2,2223,1482,1847,2591
1386,10,2,780,585,1399,3391
1387,10,2,1786,1786,4208,1645
1388,10,3,627,209,2997,1554
1389,20,2,2200,2200,6355,694
1390,-2,5,0,0,1045,1074
1391,10,2,1976,0,1957,315
1392,20,2,4558,4558,7917,411
1393,10,2,725,0,2023,433
1394,10,2,1776,355,5992,787
1395,10,2,1644,1644,4791,1264
1396,40,2,1507,1005,1809,2862
1397,10,2,1653,1653,2363,2371
1398,20,3,1872,2574,7851,547
1399,20,2,6426,6426,2504,2001
1400,10,2,1525,1482,6232,797
1401,10,2,2000,2000,2284,1698
1402,10,2,2496,0,3767,1600
1403,10,2,1545,1545,2450,2059
1404,31,2,1859,1859,2604,1971
1405,-2,1,1280,0,6590,73
1406,10,2,3240,1620,3796,1276
1407,10,2,2201,2201,1101,2162
1408,10,2,2094,349,4662,246
1409,10,2,2903,0,4575,274
1410,20,2,2456,2456,5532,1089
1411,-2,5,1432,1432,1412,2583
1412,20,2,2945,2945,5326,1014
1413,20,2,1607,0,4743,220
1414,20,2,2808,2808,387,4294
1415,-2,5,1432,1432,3643,1741
1416,20,2,4292,4292,4108,1506
1417,20,2,3080,3080,1376,3444
1418,20,3,2858,2858,2470,2737
1419,-2,5,0,0,1143,3449
1420,20,2,1526,1206,5610,1059
1421,10,2,1428,1428,2472,1983
1422,20,2,2163,2163,6335,703
1423,40,3,2237,2237,3073,2071
1424,-2,5,504,504,4617,1386
1425,10,2,2448,2048,5111,1022
1426,20,2,3350,3350,1385,3423
1427,20,2,3466,0,3799,604
1428,-2,5,0,902,1588,3855
1429,10,2,2189,2189,5620,796
1430,-2,5,775,517,4569,1462
1431,10,2,806,806,4995,1356
1432,20,2,1975,1317,5592,998
1433,10,2,896,896,2460,2748
1434,-2,5,551,551,1659,4207
1435,-2,4,1050,0,6608,620
1436,-2,5,1177,392,5147,1191
1437,-2,1,1298,433,2038,2400
1438,10,2,3512,3512,1888,823
1439,10,2,2646,1764,6386,680
1440,20,2,2772,0,6336,830
1441,10,2,1900,1900,2079,1577
1442,20,2,1920,1920,4611,263
1443,-2,5,810,810,1578,2589
1444,40,2,2998,2014,6366,890
1445,10,2,2500,2500,4059,1588
1446,-2,5,430,0,1077,951
1447,20,2,3034,3034,5614,708
1448,10,2,2014,2014,1903,2572
1449,20,2,1398,932,6837,512
1450,20,3,1622,1622,2849,2039
1451,-2,5,1012,1012,1087,3569
1452,-2,5,0,1012,65,5132
1453,-2,5,967,193,6760,629
1454,10,3,1055,1055,3541,743
1455,-2,1,1536,1536,4767,1261
1456,20,3,1038,1038,3296,1561
1457,20,2,2228,2673,4620,1298
1458,10,2,1058,1058,293,4489
1459,31,2,3632,3632,1463,2799
1460,10,2,944,944,6303,711
1461,20,2,2470,1804,5356,1202
1462,-2,4,1120,1120,3720,1404
1463,10,2,2400,2876,1383,3371
1464,20,2,2452,2452,3950,506
1465,20,2,1428,204,6567,587
1466,10,2,0,2448,1843,2960
1467,-2,1,770,257,2495,2039
